user	dep
D4Audit.no_sign_continuous_monotonicity_false	D4Audit.negative_reaction_continuous_counterexample
D4Audit.no_sign_continuous_monotonicity_false	D4Audit.noSignEvolution_neg
D4Audit.no_sign_continuous_monotonicity_false	Poincare.Longrun.Evolution.perelmanF
D4Audit.nonvacuity_main_theorem	D4Audit.audit_perelmanF_antitone
D4Audit.nonvacuity_main_theorem	Poincare.Longrun.Evolution.GlobalReactionFlow.evolutionRelation
D4Audit.nonvacuity_main_theorem	Poincare.Longrun.Evolution.perelmanF
D4Audit.nonvacuity_main_theorem	Poincare.Longrun.Evolution.unitGlobalFlow
D4Audit.nonvacuity_main_theorem	Poincare.Longrun.Evolution.unitReactionField
D4Audit.nonvacuity_main_theorem_strict	D4Audit.gibbsTerm_one_values
D4Audit.nonvacuity_main_theorem_strict	D4Audit.two_exp_neg_one_lt_one
D4Audit.nonvacuity_main_theorem_strict	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.nonvacuity_main_theorem_strict	Poincare.Longrun.Evolution.perelmanF
D4Audit.perelmanApproximation_nonvacuous	Poincare.Longrun.CurvatureODE.EvolutionRelation
D4Audit.perelmanApproximation_nonvacuous	Poincare.Longrun.CurvatureODE.ReactionField
D4Audit.perelmanApproximation_nonvacuous	Poincare.Longrun.Evolution.PerelmanApproximation
D4Audit.perelmanApproximation_nonvacuous	Poincare.Longrun.Evolution.PerelmanApproximation.mk
D4Audit.perelmanApproximation_nonvacuous	Poincare.Longrun.Evolution.finiteReactionEntropyData
D4Audit.perelmanApproximation_nonvacuous	Poincare.Longrun.Evolution.finiteReactionEntropyData_F
D4Audit.perelmanF_nonneg_sharp	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.perelmanF_nonneg_sharp	Poincare.Longrun.Evolution.perelmanF
D4Audit.perelmanF_step_lt_of_one_le	D4Audit.gibbsTerm_step_lt_of_one_le
D4Audit.perelmanF_step_lt_of_one_le	Poincare.Longrun.CurvatureODE.DiscreteEvolution
D4Audit.perelmanF_step_lt_of_one_le	Poincare.Longrun.CurvatureODE.DiscreteEvolution.step
D4Audit.perelmanF_step_lt_of_one_le	Poincare.Longrun.CurvatureODE.ReactionField
D4Audit.perelmanF_step_lt_of_one_le	Poincare.Longrun.CurvatureODE.ReactionField.eval
D4Audit.perelmanF_step_lt_of_one_le	Poincare.Longrun.CurvatureODE.ReactionField.eval_nonneg
D4Audit.perelmanF_step_lt_of_one_le	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.perelmanF_step_lt_of_one_le	Poincare.Longrun.Evolution.gibbsTerm_step_le
D4Audit.perelmanF_step_lt_of_one_le	Poincare.Longrun.Evolution.perelmanF
D4Audit.sqTraj	D4Audit.sqTraj._f
D4Audit.sqTraj._f	D4Audit.sqTraj.match_1
D4Audit.sqTraj._f	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.sqTraj._f	Poincare.Longrun.Evolution.squareField
D4Audit.sqTraj._sunfold	D4Audit.sqTraj
D4Audit.sqTraj._sunfold	D4Audit.sqTraj.match_1
D4Audit.sqTraj._sunfold	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.sqTraj._sunfold	Poincare.Longrun.Evolution.squareField
D4Audit.sqTraj._unsafe_rec	D4Audit.sqTraj._unsafe_rec
D4Audit.sqTraj._unsafe_rec	D4Audit.sqTraj.match_1
D4Audit.sqTraj._unsafe_rec	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.sqTraj._unsafe_rec	Poincare.Longrun.Evolution.squareField
D4Audit.sqTraj.eq_1	D4Audit.sqTraj
D4Audit.sqTraj.eq_2	D4Audit.sqTraj
D4Audit.sqTraj.eq_2	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.sqTraj.eq_2	Poincare.Longrun.Evolution.squareField
D4Audit.sqTraj.eq_def	D4Audit.sqTraj
D4Audit.sqTraj.eq_def	D4Audit.sqTraj._f
D4Audit.sqTraj.eq_def	D4Audit.sqTraj.match_1
D4Audit.sqTraj.eq_def	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.sqTraj.eq_def	Poincare.Longrun.Evolution.squareField
D4Audit.sqTraj.eq_def	_private.Audit.CounterexampleAudit.0.D4Audit.sqTraj.match_1.splitter
D4Audit.sqTraj_evolution	D4Audit.sqTraj
D4Audit.sqTraj_evolution	Poincare.Longrun.CurvatureODE.DiscreteEvolution
D4Audit.sqTraj_evolution	Poincare.Longrun.CurvatureODE.DiscreteEvolution.mk
D4Audit.sqTraj_evolution	Poincare.Longrun.Evolution.squareField
D4Audit.strict_step_needs_pos_reaction	Poincare.Longrun.CurvatureODE.ReactionField.eval
D4Audit.strict_step_needs_pos_reaction	Poincare.Longrun.CurvatureODE.ReactionField.hamilton
D4Audit.strict_step_needs_pos_reaction	Poincare.Longrun.CurvatureODE.ReactionField.hamilton_eval
D4Audit.strict_step_needs_pos_reaction	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.strict_step_needs_pos_reaction	Poincare.Longrun.Evolution.perelmanF
D4Audit.strict_step_needs_pos_step	D4Audit.zero_step_constant
D4Audit.strict_step_needs_pos_step	Poincare.Longrun.CurvatureODE.ReactionField
D4Audit.strict_step_needs_pos_step	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.strict_step_needs_pos_step	Poincare.Longrun.Evolution.perelmanF
D4Audit.strict_step_positive_control	D4Audit.perelmanF_step_lt_of_one_le
D4Audit.strict_step_positive_control	D4Audit.sqTraj
D4Audit.strict_step_positive_control	D4Audit.sqTraj_evolution
D4Audit.strict_step_positive_control	Poincare.Longrun.CurvatureODE.ReactionField.eval
D4Audit.strict_step_positive_control	Poincare.Longrun.Evolution.perelmanF
D4Audit.strict_step_positive_control	Poincare.Longrun.Evolution.squareField
D4Audit.strict_step_positive_control	Poincare.Longrun.Evolution.squareField_eval
D4Audit.transfer_nonvacuous	Poincare.Longrun.Evolution.ContinuousPerelmanFMonotonicity
D4Audit.transfer_nonvacuous	Poincare.Longrun.Evolution.GlobalReactionFlow.evolutionRelation
D4Audit.transfer_nonvacuous	Poincare.Longrun.Evolution.PerelmanApproximation.mk
D4Audit.transfer_nonvacuous	Poincare.Longrun.Evolution.continuousPerelmanFMonotone_of_approximation
D4Audit.transfer_nonvacuous	Poincare.Longrun.Evolution.finiteReactionEntropyData
D4Audit.transfer_nonvacuous	Poincare.Longrun.Evolution.finiteReactionEntropyData_F
D4Audit.transfer_nonvacuous	Poincare.Longrun.Evolution.unitGlobalFlow
D4Audit.transfer_nonvacuous	Poincare.Longrun.Evolution.unitReactionField
D4Audit.weak_discrete_monotonicity_false	D4Audit.negReaction
D4Audit.weak_discrete_monotonicity_false	D4Audit.negTrajDisc
D4Audit.weak_discrete_monotonicity_false	D4Audit.negTrajDisc_step
D4Audit.weak_discrete_monotonicity_false	D4Audit.two_exp_neg_one_lt_one
D4Audit.weak_discrete_monotonicity_false	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.weak_discrete_monotonicity_false	Poincare.Longrun.Evolution.perelmanF
D4Audit.zero_step_constant	Poincare.Longrun.CurvatureODE.ReactionField
D4Audit.zero_step_constant	Poincare.Longrun.CurvatureODE.ReactionField.eval
D4Audit.zero_step_constant	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.zero_step_constant	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.zero_step_constant	Poincare.Longrun.Evolution.perelmanF
D5ReleaseAudit.isProjectModule	D5ReleaseAudit.projectModuleRoots
D5ReleaseAudit.projectConstants	D5ReleaseAudit.isProjectModule
D5ReleaseAudit.projectConstants	D5ReleaseAudit.projectConstants.match_1
D6AuditReport.isProjectModule	D6AuditReport.projectModuleRoots
D6AuditReport.kindOf	D6AuditReport.kindOf.match_1
D6AuditReport.kindOf	D6AuditReport.kindOf.match_3
D6AuditReport.projectConstants	D6AuditReport.isProjectModule
D6AuditReport.projectConstants	D6AuditReport.projectConstants.match_1
