MorganTianLib/Ch01/GeodesicSpeed.lean:337:0:'MorganTianLib.speedSq_eq_chartMetricInner_of_mem_source' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicSpeed.lean:338:0:'MorganTianLib.chartEnergyDensity_eq_speedSq' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicSpeed.lean:339:0:'MorganTianLib.sum_chart_energy_eq_speedSq' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicSpeed.lean:340:0:'MorganTianLib.dist_eq_sqrt_speedSq_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicSpeed.lean:341:0:'MorganTianLib.sum_chart_energy_eq_sq_dist_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicSpeed.lean:342:0:'MorganTianLib.chart_energy_eq_sq_dist_div_two_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/IndexFormNegativeSmooth.lean:502:0:'MorganTianLib.exists_quadratic_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/IndexFormNegativeSmooth.lean:503:0:'MorganTianLib.contDiffOn_jacobiSol_of_isOpen' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/IndexFormNegativeSmooth.lean:504:0:'MorganTianLib.contDiff_testField' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/IndexFormNegativeSmooth.lean:505:0:'MorganTianLib.exists_indexForm_neg_split_of_jacobi_vanishing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/IndexFormNegativeSmooth.lean:506:0:'MorganTianLib.hasDerivAt_frameVec_fst' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/IndexFormNegativeSmooth.lean:507:0:'MorganTianLib.hasDerivAt_frameVec_snd' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/IndexFormNegativeSmooth.lean:508:0:'MorganTianLib.exists_indexForm_neg_smooth_of_isConjugatePointAt' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/JunctionGeodesic.lean:288:0:'MorganTianLib.covDerivAlong_affineLine' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/JunctionGeodesic.lean:289:0:'MorganTianLib.covDerivAlong_deriv_chartReading_eq_zero_of_geodesicAt' depends on axioms: [propext, Classical.choice, Quot.sound]
