OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: weitz_coefficient -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: fieldInner_fieldLaplacian_expand -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: fieldInner_gradLapField_expand -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: weitzenboeck_expand -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: weitzenboeck_half -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: bochner_identity -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Model.lean :: stdMetric -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Model.lean :: crossBracket -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Model.lean :: crossMetricSkew -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Model.lean :: crossLeviCivita -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Model.lean :: curvature_eq_quarter_doubleBracket -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Model.lean :: ricci_eq_half_metric -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Model.lean :: sectional_nonflat -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: D_leibniz -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: D_generator -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: D_rotVec -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: bracket_generator -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: bracket_deriv_apply -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: crossDerivation -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: gA_half_mul_two -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: ricciForm_so3 -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: ricciContraction_so3 -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: bochner_identity_so3 -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: bochner_identity_so3_curvature -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: bochner_identity_so3_eval -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: evalAt_hessSq_nonneg -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: evalAt_gradSq_nonneg -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: bochner_inequality_so3 -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: bochner_inequality_so3_strict -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: gradSq_X0 -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: evalAt_rotVec_zero -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: gradSq_X0_at_e1 -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: gradSq_X0_at_e1_pos -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: bochner_strict_at_e1 -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: Dfun_zero -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: nabla_self -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: H_self_X0 -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: lap_X0 -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: lap_X0_ne_zero -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: laplacian_gradSq_nonneg_of_harmonic -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/So3Polynomial.lean :: laplacian_gradSq_pos_of_harmonic -> ['Classical.choice', 'Quot.sound', 'propext']
OK   negative control: fake axiom correctly flagged

AXIOM AUDIT PASS: all declarations depend only on {propext, Classical.choice, Quot.sound}
